exercice,exercice_debut,rapport,rss,etablissement_id,etablissement_nom,page,souspage,ligne,colonne,plc,valeur_saisie,chiffre,code_cellule,source_feuille
2012-2013,2012,AS481,16,23121643,CENTRE DE READAPTATION EN DEPENDANCE LE VIRAGE,03,,14,4,P03L14C04,34.0,34.0,P03L14C04,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,13,11042405,CENTRE JEUNESSE DE LAVAL,03,,14,5,P03L14C05,3.0,3.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,03,11042777,CENTRE DE READAPTATION EN DEPENDANCE DE QUEBEC,03,,14,5,P03L14C05,6.0,6.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,06,11043072,CENTRE DE READAPTATION EN DEPENDANCE DE MONTREAL,03,,14,5,P03L14C05,11.0,11.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,02,11043833,CSSS DE JONQUIERE,03,,14,5,P03L14C05,0.0,0.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,01,11044104,CSSS DE RIVIERE-DU-LOUP,03,,14,5,P03L14C05,0.0,0.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,14,11044435,CSSS DU NORD DE LANAUDIERE,03,,14,5,P03L14C05,2.0,2.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,12,11044658,CENTRE DE READAPT. EN DEPEND. DE CHAUDIERE-APPALACHES,03,,14,5,P03L14C05,3.0,3.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,04,11044963,CR EN DEPEND. DOMREMY-DE-LA-MAURICIE - CENTRE-DU-QUEBEC,03,,14,5,P03L14C05,2.0,2.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,12291761,CENTRE DE READAPTATION FOSTER,03,,14,5,P03L14C05,4.0,4.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,05,12625653,CENTRE DE READAPTATION EN DEPENDANCE DE L'ESTRIE,03,,14,6,P03L14C06,22.0,22.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,07,14707475,CENTRE DE READAPTATION EN DEPENDANCE DE L'OUTAOUAIS,03,,14,5,P03L14C05,3.0,3.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,12291761,CENTRE DE READAPTATION FOSTER,03,,14,6,P03L14C06,42.0,42.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,23121643,CENTRE DE READAPTATION EN DEPENDANCE LE VIRAGE,03,,14,5,P03L14C05,2.0,2.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,13,11042405,CENTRE JEUNESSE DE LAVAL,03,,14,6,P03L14C06,36.0,36.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,03,11042777,CENTRE DE READAPTATION EN DEPENDANCE DE QUEBEC,03,,14,6,P03L14C06,85.0,85.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,09,11042819,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,03,,14,6,P03L14C06,4.0,4.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,06,11043072,CENTRE DE READAPTATION EN DEPENDANCE DE MONTREAL,03,,14,6,P03L14C06,155.0,155.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,11,11043445,CSSS DE LA HAUTE-GASPESIE,03,,14,6,P03L14C06,3.0,3.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,02,11043833,CSSS DE JONQUIERE,03,,14,6,P03L14C06,23.0,23.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,01,11044104,CSSS DE RIVIERE-DU-LOUP,03,,14,6,P03L14C06,19.0,19.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,14,11044435,CSSS DU NORD DE LANAUDIERE,03,,14,6,P03L14C06,47.0,47.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,12,11044658,CENTRE DE READAPT. EN DEPEND. DE CHAUDIERE-APPALACHES,03,,14,6,P03L14C06,36.0,36.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,06,11043072,CENTRE DE READAPTATION EN DEPENDANCE DE MONTREAL,03,,15,3,P03L15C03,11.0,11.0,P03L15C03,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,05,12625653,CENTRE DE READAPTATION EN DEPENDANCE DE L'ESTRIE,03,,14,5,P03L14C05,0.0,0.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,15,16273500,CENTRE DE READAPTATION EN DEPENDANCE DES LAURENTIDES,03,,15,5,P03L15C05,3.0,3.0,P03L15C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,13,11042405,CENTRE JEUNESSE DE LAVAL,03,,15,5,P03L15C05,2.0,2.0,P03L15C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,03,11042777,CENTRE DE READAPTATION EN DEPENDANCE DE QUEBEC,03,,15,5,P03L15C05,5.0,5.0,P03L15C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,06,11043072,CENTRE DE READAPTATION EN DEPENDANCE DE MONTREAL,03,,15,5,P03L15C05,15.0,15.0,P03L15C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,11,11043445,CSSS DE LA HAUTE-GASPESIE,03,,15,5,P03L15C05,1.0,1.0,P03L15C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,02,11043833,CSSS DE JONQUIERE,03,,15,5,P03L15C05,2.0,2.0,P03L15C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,01,11044104,CSSS DE RIVIERE-DU-LOUP,03,,15,5,P03L15C05,0.0,0.0,P03L15C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,14,11044435,CSSS DU NORD DE LANAUDIERE,03,,15,5,P03L15C05,3.0,3.0,P03L15C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
