famille,fichier,chemin_relatif,exercice,format,taille_ko,metrique_type,metrique_valeur
AS484,AS484_BD_2017-2018.zip,Archives/AS484/2017-2018/AS484_BD_2017-2018.zip,2017-2018,zip,262.9,membres,1
AS484,AS-484-2018-2019-11045119.pdf,Archives/AS484/2018-2019/AS-484-2018-2019-11045119.pdf,2018-2019,pdf,343.8,,
AS484,AS484_BD_2018_2019.csv,Archives/AS484/2018-2019/AS484_BD_2018_2019.csv,2018-2019,csv,4746.1,lignes,27658
AS484,AS-484-2019-2020-11045119.pdf,Archives/AS484/2019-2020/AS-484-2019-2020-11045119.pdf,2019-2020,pdf,7064.5,,
AS484,AS484_BD_2019_2020.csv,Archives/AS484/2019-2020/AS484_BD_2019_2020.csv,2019-2020,csv,3835.1,lignes,29083
AS484,AS-484-2020-2021-11045119.pdf,Archives/AS484/2020-2021/AS-484-2020-2021-11045119.pdf,2020-2021,pdf,342.7,,
AS484,AS484_BD_2020_2021.csv,Archives/AS484/2020-2021/AS484_BD_2020_2021.csv,2020-2021,csv,4012.6,lignes,30359
AS484,AS-484_2021-2022_01_11045119.pdf,Archives/AS484/2021-2022/AS-484_2021-2022_01_11045119.pdf,2021-2022,pdf,7116.8,,
AS484,AS484_BD_2021_2022.csv,Archives/AS484/2021-2022/AS484_BD_2021_2022.csv,2021-2022,csv,3810.4,lignes,28696
AS484,AS-484_2022-2023_01_11045119.pdf,Archives/AS484/2022-2023/AS-484_2022-2023_01_11045119.pdf,2022-2023,pdf,9612.3,,
AS484,AS484_BD_2022_2023.csv,Archives/AS484/2022-2023/AS484_BD_2022_2023.csv,2022-2023,csv,3900.4,lignes,29245
AS485,AS-485-2010-11-BD(1).zip,Archives/AS485/2010-2011/AS-485-2010-11-BD(1).zip,2010-2011,zip,298.3,membres,1
AS485,AS-485-2010-11-EXPLICATIONS.pdf,Archives/AS485/2010-2011/AS-485-2010-11-EXPLICATIONS.pdf,2010-2011,pdf,103.7,,
AS485,AS-485-2010-11-FORMULAIRE.pdf,Archives/AS485/2010-2011/AS-485-2010-11-FORMULAIRE.pdf,2010-2011,pdf,202.4,,
AS485,AS-485-2011-12-BD.csv,Archives/AS485/2011-2012/AS-485-2011-12-BD.csv,2011-2012,csv,7659.2,lignes,34696
AS485,AS-485-2011-12-EXPLICATIONS.pdf,Archives/AS485/2011-2012/AS-485-2011-12-EXPLICATIONS.pdf,2011-2012,pdf,85.3,,
AS485,AS-485-2011-12-FORMULAIRE.pdf,Archives/AS485/2011-2012/AS-485-2011-12-FORMULAIRE.pdf,2011-2012,pdf,189.5,,
AS485,AS-485-2012-13-BD.zip,Archives/AS485/2012-2013/AS-485-2012-13-BD.zip,2012-2013,zip,244.5,membres,1
AS485,AS-485-2012-13-EXPLICATIONS.pdf,Archives/AS485/2012-2013/AS-485-2012-13-EXPLICATIONS.pdf,2012-2013,pdf,84.7,,
